p_s_per_km,X_degree,T_second,T_reduced_second,turn_depth_km,phase_name,branch_name
0.015032,146.48913064613,1182.41925756978,-282.47204889152,5308.24580995857,PKIKP,turn below 670 km
0.0155875,145.376102221863,1180.53702768229,-273.223994536345,5271.60591152052,PKIKP,turn below 670 km
0.016143,141.796213957518,1174.20090514036,-243.761234434822,5232.61382840488,PKIKP,turn below 670 km
0.0166985,136.887179975873,1165.22262694953,-203.649172809203,5194.90480471644,PKIKP,turn below 670 km
0.017254,127.30651567404,1147.06734491912,-125.997811821275,5158.03990722746,PKIKP,turn below 670 km
0.0178095,123.893008437569,1140.70637362177,-98.2237107539208,5149.5,PKP,turn below 670 km
0.018365,139.69882555373,1172.55851129199,-224.429744245314,5149.5,PKP,turn below 670 km
0.0189205,151.997463245888,1197.77075831697,-322.203874141908,5123.59091367194,PKP,turn below 670 km
0.019476,151.376423175973,1196.43924904243,-317.324982717301,5089.75179467391,PKP,turn below 670 km
0.0200315,151.442123561305,1196.56771717826,-317.853518434795,5055.88494217884,PKP,turn below 670 km
0.020587,150.416783045319,1194.24823695787,-309.919593495313,5021.62912653674,PKP,turn below 670 km
0.0211425,149.816554138895,1192.85163714503,-305.313904243928,4988.35065219815,PKP,turn below 670 km
0.021698,149.901410559644,1193.03576420377,-305.978341392671,4954.89938567954,PKP,turn below 670 km
0.0222535,148.959289045262,1190.72885023781,-298.864040214808,4921.09467586349,PKP,turn below 670 km
0.022809,148.369092280861,1189.2459293168,-294.444993491811,4888.18786431585,PKP,turn below 670 km
0.0233645,148.28524580521,1189.01610697728,-293.836351074819,4855.33362341149,PKP,turn below 670 km
0.02392,147.539678952519,1187.04929301139,-288.347496513799,4822.39527255711,PKP,turn below 670 km
0.0244755,147.247215424481,1186.25705380031,-286.215100444501,4790.28426582749,PKP,turn below 670 km
0.025031,147.575544304224,1187.14675705925,-288.608685982993,4758.01117198197,PKP,turn below 670 km
0.0255865,146.784308696692,1184.91400776435,-282.929079202568,4724.99672143425,PKP,turn below 670 km
0.026142,146.256847107382,1183.39175865138,-279.176712422443,4692.75226062258,PKP,turn below 670 km
0.0266975,146.230825259447,1183.30745953844,-279.000793056029,4660.82070259211,PKP,turn below 670 km
0.027253,145.589604990051,1181.37840177773,-274.51764812278,4628.65934875359,PKP,turn below 670 km
0.0278085,145.187874843652,1180.14250793482,-271.736240501703,4597.21401437116,PKP,turn below 670 km
0.028364,145.340433287941,1180.6150706742,-272.789262205212,4566.28173065081,PKP,turn below 670 km
0.0289195,144.930020126204,1179.30134406889,-269.998857193147,4534.97909987671,PKP,turn below 670 km
0.029475,144.774915449862,1178.79183700496,-268.957317493652,4504.34380832254,PKP,turn below 670 km
0.0300305,145.18678998681,1180.15383609105,-271.714063777044,4474.35888541333,PKP,turn below 670 km
0.030586,145.188208802696,1180.14192452716,-271.740163499803,4443.12432887466,PKP,turn below 670 km
0.0311415,144.861927000612,1179.01603915693,-269.603230849189,4412.27666324332,PKP,turn below 670 km
0.031697,144.816984967428,1178.85318727181,-269.316662402475,4382.04236083982,PKP,turn below 670 km
0.0322525,144.879212517735,1179.06547188273,-269.726653294618,4352.12283774983,PKP,turn below 670 km
0.032808,145.049685594143,1179.67620658603,-270.820649355403,4322.62258721266,PKP,turn below 670 km
0.0333635,145.356058345888,1180.7962284451,-272.764355013778,4293.69504520484,PKP,turn below 670 km
0.033919,146.536710991625,1185.20661764546,-280.160492270789,4264.93937533975,PKP,turn below 670 km
0.0344745,146.760894459335,1186.05447627772,-281.554468315627,4235.20289071416,PKP,turn below 670 km
0.03503,147.173649916732,1187.64422066927,-284.092278498052,4206.00941514234,PKP,turn below 670 km
0.0355855,147.937379151379,1190.63745880595,-288.73633270784,4177.34693266524,PKP,turn below 670 km
0.036141,148.753175660011,1193.8761937842,-293.65556281591,4148.61686974098,PKP,turn below 670 km
0.0366965,149.908508169453,1198.54507079018,-300.540010904355,4120.22819471805,PKP,turn below 670 km
0.037252,151.328991463483,1204.37952324157,-308.910391393254,4092.33986606512,PKP,turn below 670 km
0.0378075,153.428050419145,1213.13480915032,-321.145695041125,4064.79323498106,PKP,turn below 670 km
0.038363,155.851118642216,1223.3944815607,-335.116704861454,4037.21368485098,PKP,turn below 670 km
0.0389185,159.388449929152,1238.59546866139,-355.289030630122,4010.10553396552,PKP,turn below 670 km
0.039474,165.453486721449,1265.04485698562,-389.490010228868,3983.45868776814,PKP,turn below 670 km
0.0400295,97.6215249058255,817.514584930881,-158.700664127374,2874.15569351475,P,turn below 670 km
0.040585,95.8717490642497,809.653886906167,-149.06360373633,2827.91115814233,P,turn below 670 km
0.0411405,93.4124887313559,798.469621433711,-135.655265879848,2782.04157183305,P,turn below 670 km
0.041696,89.739089904194,781.529176944316,-115.861722097625,2737.88279732832,P,turn below 670 km
0.0422515,88.800690340589,777.142638583493,-110.864264822397,2700.73242925894,P,turn below 670 km
0.042807,87.9594626963762,773.158422960315,-106.436204003447,2664.10516473437,P,turn below 670 km
0.0433625,87.0762773175486,768.921599967393,-101.841173208093,2627.73699465444,P,turn below 670 km
0.043918,86.2048480487507,764.686439551821,-97.3620409356861,2591.94550310241,P,turn below 670 km
0.0444735,85.568212714627,761.547610114117,-94.1345170321529,2556.33687516062,P,turn below 670 km
0.045029,84.7272304796057,757.355508412299,-89.9167963837576,2520.72989638933,P,turn below 670 km
0.0455845,84.014021814781,753.75599205495,-86.3842260928606,2485.67070150071,P,turn below 670 km
